date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-07-24,122747.9818579004,2135.0487279244912,1270.3458897032192,571,246,88,75,79,64,40,40,19,7
2022-07-25,123140.68469612168,1663.048727924491,3263.376192733522,661,780,440,271,266,273,138,194,138,47
2022-07-26,122558.96329191871,2681.6547885305517,3047.6069619642917,749,319,452,282,369,257,155,225,110,81
2022-07-27,122378.08804156189,2866.7317116074746,2976.7736286309582,784,340,362,273,320,273,151,208,100,61
2022-07-28,122178.5461245384,2777.2317116074746,3009.3931402304697,597,381,217,244,346,269,145,188,82,28
2022-07-29,121931.84730885802,2762.6943245500875,2469.151058782506,666,350,206,224,242,190,86,139,82,25
2022-07-30,121993.57383254416,2530.8775824686395,1243.651058782506,449,167,62,67,72,59,20,35,18,3
2022-07-31,122736.13368956363,1986.210915801973,1356.776058782506,450,215,81,87,76,60,37,53,21,7
2022-08-01,123096.56854658309,1717.210915801973,3136.942725449173,545,700,430,251,271,265,129,169,96,47
2022-08-02,122546.83673693589,2587.210915801973,2788.6740520935427,597,275,376,219,264,260,130,187,103,62
2022-08-03,122409.19076898323,2651.0280841408803,2901.959766379257,620,353,313,261,317,233,145,181,111,66
2022-08-04,122140.8781343639,2633.647131759928,2772.2930997125904,619,355,249,237,311,230,127,168,97,60
2022-08-05,121771.48216641124,2402.897131759928,2653.101359299611,638,440,251,223,243,210,102,143,69,35
2022-08-06,121832.5154019984,2714.134594886772,1275.7108267552323,479,144,97,58,76,58,28,26,12,3
2022-08-07,122434.45988018911,1877.6553049459435,1374.7108267552323,423,220,126,78,64,73,35,37,21,4
2022-08-08,122899.40435837982,1839.6553049459433,2843.1056126025323,512,639,371,179,226,218,126,163,82,35
2022-08-09,122357.08766338618,2300.7889176088856,2784.772279269199,519,340,355,248,313,255,144,187,89,48
2022-08-10,122166.27096839253,2593.955584275552,2820.950372914684,633,293,308,212,326,252,151,213,91,49
2022-08-11,122060.47935701092,2715.1587615330773,2779.247212121988,1052,384,266,256,361,304,182,235,106,49
2022-08-12,122025.70169330954,2744.4695484206086,3871.247212121988,692,420,233,196,247,539,365,462,280,170
2022-08-13,122329.42402960817,4174.969548420609,1262.7472121219882,494,169,109,71,63,53,32,39,9,3
2022-08-14,123053.14636590678,1986.4695484206086,1422.2472121219882,478,269,91,87,96,58,32,45,21,5
2022-08-15,123457.86870220541,1826.9695484206086,2935.92989186055,653,592,451,209,229,251,135,197,93,55
